2007-2008,SA2_2016_A,SA2_2016_1,SA2_2016_2,SA2_2016_3,SA2_2016_4,SA2_2016_5,SA2_2016_6,SA2_2016_7,SA2_2016_8,SA2_2016_9,SA2_201_10,SA2_201_11,SA2_to_GM_,SA2_to_GM1,SA2_OBJECT,SA2_Code,SA2_Region,SA2_Code_t,Shape_Leng,Shape_Area
412.99902983038413,208021176,21176,Carnegie,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,3.8043,0,,0,0,,0,0.0861395979414,0.00038970193808
412.99949257641504,208021177,21177,Caulfield - North,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,6.4189,0,,0,0,,0,0.131347923987,0.00065733028448
412.99993374844223,208021178,21178,Caulfield - South,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,4.7426,0,,0,0,,0,0.0864099068672,0.000485727363905
412.9992428127888,208021179,21179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.8616,0,,0,0,,0,0.071956673662,0.00029309632343
394.9981085530171,208021180,21180,Hughesdale,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.0096,0,,0,0,,0,0.0614650874952,0.000205863592975
412.99951004583636,208021181,21181,Murrumbeena,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.5148,0,,0,0,,0,0.0722012882065,0.00025759413552
377.22277611393184,208021182,21182,Ormond - Glen Huntly,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.9371,0,,0,0,,0,0.0997130293769,0.00030084946602
315.00023164575,208021426,21426,Bentleigh East (North),20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,4.5989,0,,0,0,,0,0.0932315835266,0.000471205623248
315.0004441012922,208021427,21427,Bentleigh East (South),20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,4.5882,0,,0,0,,0,0.0932201367804,0.00047016561993
500.720805053239,208031183,21183,Aspendale Gardens - Waterways,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5.3073,0,,0,0,,0,0.107479749922,0.000544518504123
598.9997637799991,208031184,21184,Braeside,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,9.0819,0,,0,0,,0,0.151829706962,0.000931544115144
437.9996580302525,208031185,21185,Carrum - Patterson Lakes,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5.8242,0,,0,0,,0,0.131113286776,0.000598056837463
438.0,208031186,21186,Chelsea - Bonbeach,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5.423,0,,0,0,,0,0.0998626319742,0.000556685756318
437.99995829205136,208031187,21187,Chelsea Heights,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,3.1958,0,,0,0,,0,0.0770660320839,0.000327951148029
599.0000071428549,208031188,21188,Cheltenham - Highett (East),20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,8.7377,0,,0,0,,0,0.155957244025,0.000895705380118
438.20923657913227,208031189,21189,Edithvale - Aspendale,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5.1001,0,,0,0,,0,0.124604543616,0.00052336603936
598.999878517866,208031190,21190,Mentone,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,4.45,0,,0,0,,0,0.127341371483,0.000456296853338
598.9917391764166,208031191,21191,Moorabbin - Heatherton,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,11.6997,0,,0,0,,0,0.210576018585,0.00119931137481
599.0,208031192,21192,Moorabbin Airport,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,3.0755,0,,0,0,,0,0.0784740914214,0.000315378414029
598.9999501255523,208031193,21193,Mordialloc - Parkdale,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,7.9681,0,,0,0,,0,0.126854688175,0.000817251407194
151.0007735295107,208041194,21194,Malvern - Glen Iris,20804,Stonnington - East,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,6.1552,0,,0,0,,0,0.132679035678,0.000630167891873
151.00888927055962,208041195,21195,Malvern East,20804,Stonnington - East,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,7.5668,0,,0,0,,0,0.150567446784,0.00077499013651
266.00826978910027,209011196,21196,Bundoora - East,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,4.0749,0,,0,0,,0,0.099790639784,0.000416318617575
