SA1_7DIGITCODE_2011,EA_11,EA_16,change,Influx_affluent
2111119,61,115,0.8852459016393442,True
2111120,105,122,0.1619047619047619,False
2111121,86,101,0.1744186046511628,False
2111122,82,57,-0.3048780487804878,False
2111123,119,129,0.08403361344537816,False
2111124,81,107,0.32098765432098764,True
2111125,90,61,-0.32222222222222224,False
2111126,68,131,0.9264705882352942,True
2111127,82,89,0.08536585365853659,False
2111128,106,84,-0.20754716981132076,False
2111129,124,154,0.24193548387096775,True
2111130,154,219,0.42207792207792205,True
2111131,71,67,-0.056338028169014086,False
2111132,95,111,0.16842105263157894,False
2111133,128,107,-0.1640625,False
2111134,83,120,0.4457831325301205,True
2111135,106,141,0.330188679245283,True
2111136,128,134,0.046875,False
2111137,110,96,-0.12727272727272726,False
2111138,96,110,0.14583333333333334,False
2111139,68,132,0.9411764705882353,True
2111140,128,107,-0.1640625,False
2111141,107,115,0.07476635514018691,False
2111142,72,148,1.0555555555555556,True
2111143,154,112,-0.2727272727272727,False
2111144,90,112,0.24444444444444444,True
2111145,146,73,-0.5,False
2111146,96,113,0.17708333333333334,True
2111147,85,105,0.23529411764705882,True
2111148,136,72,-0.47058823529411764,False
2111149,82,127,0.5487804878048781,True
2111150,47,78,0.6595744680851063,True
2111151,111,137,0.23423423423423423,True
2111152,93,111,0.1935483870967742,True
2111153,0,81,0.0,False
2111201,66,140,1.121212121212121,True
2111202,60,90,0.5,True
2111203,57,79,0.38596491228070173,True
2111204,58,157,1.706896551724138,True
2111205,101,75,-0.25742574257425743,False
2111206,67,0,-1.0,False
2111207,85,103,0.21176470588235294,True
2111208,80,100,0.25,True
2111209,121,81,-0.3305785123966942,False
2111210,66,75,0.13636363636363635,False
2111211,49,121,1.469387755102041,True
2111212,81,81,0.0,False
2111213,119,136,0.14285714285714285,False
2111214,96,88,-0.08333333333333333,False
2111215,75,147,0.96,True
2111216,87,99,0.13793103448275862,False
2111217,57,38,-0.3333333333333333,False
2111218,71,105,0.4788732394366197,True
2111219,94,94,0.0,False
2111220,74,117,0.581081081081081,True
2111221,94,80,-0.14893617021276595,False
2111222,56,80,0.42857142857142855,True
2111223,127,70,-0.44881889763779526,False
2111224,55,74,0.34545454545454546,True
2111225,57,128,1.2456140350877194,True
2111226,83,96,0.1566265060240964,False
2111227,63,112,0.7777777777777778,True
2111228,101,65,-0.3564356435643564,False
2111229,91,117,0.2857142857142857,True
2111230,111,64,-0.42342342342342343,False
2111231,48,87,0.8125,True
2111232,90,104,0.15555555555555556,False
2111233,69,78,0.13043478260869565,False
2111234,108,117,0.08333333333333333,False
2111235,127,121,-0.047244094488188976,False
2111236,46,100,1.173913043478261,True
2111237,99,72,-0.2727272727272727,False
2111238,85,99,0.16470588235294117,False
2111239,82,78,-0.04878048780487805,False
2111240,63,105,0.6666666666666666,True
2111241,52,129,1.4807692307692308,True
2111242,67,60,-0.1044776119402985,False
2111301,0,99,0.0,False
2111302,49,80,0.6326530612244898,True
2111303,119,99,-0.16806722689075632,False
2111304,118,43,-0.635593220338983,False
2111305,112,70,-0.375,False
2111306,106,92,-0.1320754716981132,False
2111307,113,0,-1.0,False
2111308,51,85,0.6666666666666666,True
2111309,74,132,0.7837837837837838,True
2111310,60,118,0.9666666666666667,True
2111311,135,153,0.13333333333333333,False
2111312,118,138,0.1694915254237288,False
2111313,75,299,2.986666666666667,True
2111314,92,73,-0.20652173913043478,False
2111315,107,91,-0.14953271028037382,False
2111316,51,61,0.19607843137254902,True
2111317,20,176,7.8,True
2111318,7,130,17.571428571428573,True
2111319,114,95,-0.16666666666666666,False
2111320,53,108,1.0377358490566038,True
2111321,16,116,6.25,True
2111322,80,40,-0.5,False
2111323,88,20,-0.7727272727272727,False
2111324,103,8,-0.9223300970873787,False
2111325,80,138,0.725,True
2111326,98,46,-0.5306122448979592,False
2111327,132,23,-0.8257575757575758,False
2111328,105,95,-0.09523809523809523,False
2111329,42,101,1.4047619047619047,True
