region_id,B112
2011609,1134.8
2011610,1299.5
2011701,687.3
2011702,774.2
2011703,916.1
2011704,1066.3
2011705,1024.9
2011706,639.9
2011707,777.7
2011708,600.1
2011709,627.1
2011710,664.9
2011711,530.3
2011801,1171.9
2011802,640.1
2011803,719.5
2011804,613.8
2011805,691.4
2011806,658.3
2011807,772.7
2011808,689.2
2011809,859.7
2011810,974.1
2011811,629.4
2011812,1506.8
2011813,1374.1
2011814,1386.6
2011902,824.9
2011903,709.6
2011904,1085.3
2011905,574.5
2011906,412.7
2011907,664.9
2011908,559.9
2011909,636.6
2011910,1099.5
2011911,880.8
2011912,557.1
2012001,595.8
2012002,668.1
2012003,606.7
2012004,974.1
2012005,566.5
2012006,833.2
2012007,859.7
2012009,594.4
2012010,715.7
2012011,627.4
2012012,899.5
2012101,819.9
2012102,660.6
2012103,526.8
2012104,584.8
2012105,590.2
2012106,1049.8
2012107,1010
2012108,624.2
2012201,1021.2
2012202,530.4
2012203,1007.3
2012204,674.8
2012205,854.7
2012206,643.8
2012207,595.2
2012208,1057.8
2020101,916.1
2020102,687.3
2020103,761.8
2020104,758.4
2020105,839.8
2020106,597.9
2020107,939.3
2020108,761.8
2020109,624.2
2020110,859.7
2020111,911.9
2020112,514.9
2020201,871.1
2020202,698.2
2020203,576.1
2020204,562.7
2020205,656.2
2020206,663.1
2020301,965.8
2020302,1052.7
2020303,859.7
2020304,687.3
2020305,1071.9
2020306,618.6
2020307,616.3
2020308,597.2
2020309,1037.3
2020310,670.3
2020401,1015.3
2020402,939.3
2020403,751.1
2020404,939.3
2020405,668.1
2020406,771.1
2020407,624.2
2020408,554.4
2020409,590.5
2020410,780.4
2020411,610.8
2020412,904
2020413,743.1
2020501,593.9
2020502,670.7
2020503,1142.1
2020504,696.6
2020505,677.1
2020506,564.2
2020507,589.8
2020508,758.4
2020509,782.8
2020510,646.6
2020511,809.5
2020512,1038.5
2020601,845.2
2020602,632.4
2020603,611.8
2020604,687.3
2020605,993.5
2020606,832.7
2020607,1004
2020608,1104.2
2020701,959.2
2020702,1035.8
2020703,807.7
2020704,674.8
2020705,888.4
2020706,1056.9
2020707,833.2
2020708,616.7
2020709,657.8
2020710,1322.5
2020801,959.2
2020802,1071.9
2020803,1028.4
2020804,1135.7
2020805,693.8
2020806,492.8
2020807,590.4
2020808,942.1
2020809,957.1
2020810,1095.4
2020901,641.4
2020902,724.5
2020903,677.1
2020904,534.1
2020905,690.4
2020906,616.8
2020907,749.3
2020908,823.4
2020909,619.9
2020910,983
2021001,987.9
2021002,1115.2
2021003,620.2
2021004,899.5
2021005,1058.5
2021006,892.4
2021007,953.1
2021008,836.2
2021009,617.1
2021010,683.5
2021011,1059.7
