region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
2107105,45,3800,533,350,1145,1.1,1145,2.6
2107106,46,1083,503,84,1446,1.0,1287,2.6
2107107,47,1582,473,140,1108,1.1,971,2.2
2107108,54,1127,388,170,841,1.1,768,2.1
2107109,38,1993,396,165,850,1.1,756,2.5
2107110,45,1453,395,45,774,1.1,700,2.7
2107111,46,1625,592,150,1594,1.1,1375,2.8
2107112,50,953,377,170,991,1.0,560,2.0
2107113,75,0,0,0,0,0,0,0
2107114,52,942,483,175,1016,1.0,966,2.3
2107115,46,1300,426,205,881,1.0,768,2.1
2107201,42,867,379,150,1125,1.1,1012,2.6
2107202,40,1083,575,250,1375,1.1,1075,2.7
2107203,44,1274,391,110,768,1.1,678,2.1
2107204,58,1148,468,143,871,1.0,719,2.1
2107205,49,1300,365,135,833,1.1,584,2.3
2107206,48,850,389,110,811,1.0,571,1.9
2107207,43,1549,627,150,1463,1.1,1298,2.8
2107208,45,1668,579,180,1632,1.1,1156,2.7
2107209,51,845,439,70,911,1.1,844,2.4
2107210,56,780,402,90,949,1.1,681,2.1
2107211,46,1050,435,150,1021,1.1,778,2.5
2107212,45,1083,485,50,972,1.1,900,2.5
2107213,46,1142,403,175,921,1.0,795,2.4
2107214,50,780,448,125,964,1.1,766,2.1
2107215,0,0,0,0,0,0,0,0
2107216,46,764,474,100,1042,1.1,883,2.3
2107217,51,2075,372,100,966,1.1,833,2.5
2107218,47,1083,655,0,1478,1.1,1174,2.4
2107219,49,1083,415,0,974,1.1,785,2.2
2107220,39,1767,461,0,956,1.2,946,2.9
2107301,20,1224,312,140,553,1.1,524,2.9
2107302,33,1500,654,275,1449,1.1,1471,3.1
2107303,36,1365,617,210,1352,1.0,1012,2.1
2107304,28,1616,608,230,1108,1.0,1048,2.5
2107305,30,1300,685,210,1468,1.0,1349,2.5
2107306,36,1500,628,273,1447,1.0,1354,2.7
2107307,34,1083,479,208,1005,1.1,885,2.3
2107308,40,910,363,150,700,1.1,383,1.7
2107309,30,1127,588,200,1050,1.1,976,2.5
2107310,34,1300,609,265,1166,1.0,1183,2.6
2107311,32,1647,580,275,1423,1.1,1268,2.8
2107312,25,585,370,133,543,1.1,547,2.6
2107313,37,1473,692,305,1729,1.1,1553,2.9
2107314,34,1573,661,255,1654,1.1,1218,2.4
2107315,36,1800,684,275,1646,1.0,1519,2.7
2107316,35,1083,637,200,1156,1.1,979,2.1
2107317,37,1300,651,225,1281,1.0,1133,2.4
2107318,50,1942,676,270,2031,1.0,1446,2.6
2107319,41,1000,768,120,1916,1.0,1700,2.7
2107320,44,1625,725,320,1883,1.0,1816,2.8
2107321,37,1600,677,283,1821,1.0,1750,3.3
2107322,24,1791,476,310,1366,1.1,1183,2.5
