SA2_MAINCODE_2011,2006_1,2006_2,2006_3,2006_4,2006_5,2006_6,2006_7,2006_8,2006_9,2006_10,2006_11,2006_12,mean_2006
208021174,514500.0,525625.0,522500.0,526250.0,520000.0,492875.0,500250.0,495000.0,537000.0,514500.0,520000.0,539500.0,517333.3333333333
208021175,421000.0,429975.0,421000.0,421000.0,421000.0,420000.0,420000.0,419000.0,421000.0,420500.0,425000.0,423750.0,421935.4166666667
208021176,500000.0,475000.0,498250.0,498250.0,500000.0,500000.0,499750.0,500000.0,490000.0,490000.0,490000.0,479975.0,493435.4166666667
208021177,750000.0,800500.0,750000.0,777000.0,749500.0,750000.0,749000.0,750000.0,787500.0,749000.0,749000.0,790000.0,762625.0
208021178,630000.0,695000.0,680000.0,670000.0,650000.0,629500.0,629500.0,625000.0,680000.0,655000.0,670000.0,680000.0,657833.3333333334
208021179,720000.0,740000.0,700000.0,700000.0,725000.0,700000.0,725000.0,660000.0,714312.5,700000.0,700000.0,725000.0,709109.375
208021180,450000.0,470000.0,450000.0,465000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,470000.0,454583.3333333333
208021181,500000.0,500000.0,498000.0,499000.0,500000.0,520000.0,519000.0,519000.0,500000.0,494000.0,494000.0,500000.0,503583.3333333333
208021182,550000.0,447000.0,525000.0,490375.0,544255.0,525000.0,535000.0,550000.0,480000.0,528000.0,525000.0,442000.0,511802.5
208031183,415000.0,429500.0,431000.0,432500.0,419500.0,415000.0,415000.0,415000.0,434500.0,417000.0,420000.0,430500.0,422875.0
208031184,405301.5602189781,409645.2609489051,404385.06751824816,405938.7737226277,406336.51459854015,403047.8996350365,405167.64598540147,402668.0018248175,406496.8613138686,405704.40510948905,404983.5510948905,406385.147810219,405505.05748175184
208031185,389000.0,399000.0,399500.0,395000.0,390000.0,389000.0,379000.0,380000.0,400000.0,392500.0,399500.0,398250.0,392562.5
208031186,340000.0,350000.0,349000.0,349000.0,342500.0,339725.0,340000.0,338500.0,349500.0,340000.0,345000.0,349750.0,344414.5833333333
208031187,319950.0,328000.0,319950.0,319725.0,319950.0,319950.0,319950.0,319500.0,318500.0,329000.0,328000.0,319250.0,321810.4166666667
208031188,379500.0,400000.0,389500.0,395000.0,380000.0,380000.0,380000.0,380000.0,400000.0,380000.0,385000.0,400000.0,387416.6666666667
208031189,390000.0,415000.0,405475.0,410000.0,395000.0,389500.0,390000.0,385000.0,405000.0,399975.0,400000.0,409500.0,399537.5
208031190,460500.0,470000.0,450000.0,440000.0,460000.0,432750.0,436500.0,436500.0,432000.0,475000.0,475000.0,440000.0,450687.5
208031191,420000.0,442500.0,439000.0,445000.0,421250.0,400000.0,402500.0,400000.0,445000.0,423750.0,435000.0,440000.0,426166.6666666667
208031192,405301.5602189781,409645.2609489051,404385.06751824816,405938.7737226277,406336.51459854015,403047.8996350365,405167.64598540147,402668.0018248175,406496.8613138686,405704.40510948905,404983.5510948905,406385.147810219,405505.05748175184
208031193,429000.0,441750.0,423000.0,435000.0,430000.0,420000.0,405250.0,425000.0,435000.0,429000.0,422500.0,431000.0,427208.3333333333
208041194,758750.0,900000.0,825000.0,850000.0,850000.0,850000.0,800000.0,829500.0,880000.0,880000.0,850000.0,895000.0,847354.1666666666
208041195,620000.0,620000.0,620000.0,627000.0,607500.0,620000.0,620000.0,606250.0,620000.0,620000.0,615000.0,620000.0,617979.1666666666
209011196,307500.0,309950.0,320000.0,310000.0,305000.0,300000.0,300000.0,300000.0,310000.0,315000.0,320000.0,310000.0,308954.1666666667
209011197,350000.0,357000.0,360000.0,367500.0,350000.0,350000.0,350000.0,350000.0,360000.0,360000.0,372250.0,359975.0,357227.0833333333
209011198,420000.0,430000.0,430000.0,430000.0,422500.0,420000.0,420000.0,420250.0,425000.0,430000.0,430000.0,430000.0,425645.8333333333
209011199,295000.0,292000.0,299000.0,295000.0,295000.0,296250.0,295000.0,300000.0,295000.0,299000.0,295000.0,294987.5,295936.4583333333
209011200,525000.0,550000.0,550000.0,550000.0,550000.0,520000.0,525000.0,520000.0,550000.0,550000.0,550000.0,550000.0,540833.3333333334
209011201,730000.0,698750.0,703500.0,703500.0,730000.0,750000.0,704590.0,745000.0,703000.0,730000.0,740000.0,702500.0,720070.0
209011202,360000.0,350000.0,353750.0,360000.0,360000.0,350000.0,359975.0,362500.0,350000.0,360000.0,360000.0,350000.0,356352.0833333333
209011203,360000.0,360000.0,360000.0,367500.0,365000.0,352950.0,358500.0,354750.0,360000.0,365000.0,367500.0,357000.0,360683.3333333333
209011204,300000.0,300000.0,300000.0,300000.0,300000.0,290000.0,300000.0,290000.0,300000.0,307475.0,307475.0,300000.0,299579.1666666667
209021205,500000.0,451500.0,500000.0,500000.0,500000.0,500000.0,500000.0,490000.0,475000.0,519750.0,502000.0,475000.0,492770.8333333333
209021206,349500.0,355000.0,350000.0,355000.0,350000.0,345750.0,349500.0,345750.0,350000.0,350000.0,350000.0,355000.0,350458.3333333333
209021207,283500.0,283500.0,283500.0,283500.0,283500.0,283500.0,283500.0,285000.0,281750.0,285000.0,283500.0,283500.0,283604.1666666667
209021208,315000.0,310000.0,315000.0,309500.0,325000.0,309750.0,309750.0,309750.0,307000.0,325000.0,320000.0,309625.0,313781.25
209031209,400000.0,400000.0,404500.0,402250.0,400000.0,400000.0,400000.0,399500.0,402250.0,404500.0,409500.0,402250.0,402062.5
209031210,340000.0,370000.0,350000.0,360000.0,342500.0,330000.0,340000.0,320000.0,365000.0,350000.0,357500.0,370000.0,349583.3333333333
209031211,290000.0,310000.0,310000.0,310000.0,300000.0,290000.0,290000.0,290000.0,310000.0,300000.0,310000.0,305000.0,301250.0
209031212,570000.0,550000.0,557450.0,570000.0,565000.0,600000.0,570000.0,610000.0,575000.0,550000.0,550000.0,550000.0,568120.8333333334
209031213,394975.0,395000.0,395000.0,390000.0,390000.0,387000.0,387000.0,390000.0,400000.0,399475.0,400000.0,400000.0,394037.5
209031214,530000.0,545000.0,520000.0,530000.0,520000.0,525000.0,520000.0,520000.0,530000.0,510000.0,520000.0,538000.0,525666.6666666666
209031215,360000.0,410000.0,390000.0,400000.0,370000.0,350000.0,360000.0,350000.0,410000.0,380000.0,380000.0,410000.0,380833.3333333333
209041216,350000.0,350000.0,350000.0,360000.0,361000.0,373500.0,350000.0,375000.0,350000.0,375000.0,362500.0,350000.0,358916.6666666667
209041217,300000.0,312500.0,300000.0,300000.0,305000.0,300000.0,300000.0,300000.0,305000.0,310000.0,310000.0,305000.0,303958.3333333333
209041218,262500.0,275000.0,279250.0,275000.0,265000.0,265000.0,260000.0,265000.0,275000.0,272500.0,279750.0,275000.0,270750.0
209041219,245000.0,252000.0,252000.0,250000.0,248250.0,249000.0,245000.0,250000.0,250000.0,250000.0,255000.0,251000.0,249770.83333333334
209041220,282500.0,295000.0,285000.0,289500.0,285000.0,285000.0,285000.0,285000.0,289500.0,283750.0,285000.0,290000.0,286687.5
209041221,275000.0,280000.0,275000.0,280000.0,275000.0,275000.0,275000.0,275000.0,280000.0,275000.0,277500.0,275000.0,276458.3333333333
209041222,339000.0,334500.0,330000.0,335000.0,340000.0,340000.0,339000.0,339000.0,330000.0,340000.0,335750.0,331650.0,336158.3333333333
209041223,255000.0,252500.0,250000.0,250000.0,250000.0,260000.0,255000.0,255000.0,250000.0,250000.0,250000.0,250000.0,252291.66666666666
209041224,375000.0,328098.5,370000.0,375000.0,385000.0,375000.0,375000.0,375000.0,367000.0,387500.0,392975.0,344733.0,370858.875
209041225,392000.0,340000.0,362500.0,365000.0,359500.0,395000.0,395000.0,409500.0,357000.0,353500.0,349975.0,350000.0,369081.25
210011226,314750.0,320000.0,315000.0,317250.0,315000.0,314875.0,314750.0,314875.0,315000.0,315000.0,319750.0,319500.0,316312.5
210011227,405301.5602189781,409645.2609489051,404385.06751824816,405938.7737226277,406336.51459854015,403047.8996350365,405167.64598540147,402668.0018248175,406496.8613138686,405704.40510948905,404983.5510948905,406385.147810219,405505.05748175184
210011228,430000.0,425000.0,430000.0,425000.0,437500.0,442775.0,430000.0,437500.0,422500.0,425000.0,425000.0,430000.0,430022.9166666667
210011229,336000.0,338000.0,338000.0,343262.5,340000.0,336000.0,331000.0,339500.0,336000.0,340000.0,338000.0,340762.5,338043.75
210011230,425000.0,420000.0,420000.0,420000.0,423875.0,415625.0,420000.0,415625.0,425000.0,420000.0,420000.0,420000.0,420427.0833333333
210011231,457500.0,475000.0,477500.0,465000.0,476250.0,476250.0,465000.0,480000.0,475000.0,465000.0,465000.0,475000.0,471041.6666666667
210021232,349000.0,378500.0,365000.0,365000.0,345000.0,355000.0,349000.0,355000.0,365000.0,349000.0,365000.0,375000.0,359625.0
210021233,512500.0,505000.0,495000.0,450000.0,520000.0,503750.0,495000.0,505000.0,490000.0,500000.0,465000.0,485000.0,493854.1666666667
210021234,389500.0,379000.0,385000.0,382000.0,394500.0,392500.0,394500.0,399500.0,382000.0,400000.0,385000.0,375000.0,388208.3333333333
210021235,305000.0,319950.0,299500.0,299500.0,300000.0,305000.0,307500.0,305000.0,305000.0,300000.0,300000.0,305000.0,304287.5
210031236,305000.0,315000.0,305000.0,305000.0,315000.0,307000.0,305000.0,300000.0,315000.0,317500.0,305000.0,315000.0,309125.0
210031237,279500.0,275000.0,275000.0,270000.0,275000.0,277500.0,279000.0,279500.0,270000.0,276250.0,275000.0,275000.0,275562.5
