BP_2005_2006,BP_2006_2007,BP_2007_2008,BP_2008_2009,BP_2009_2010,BP_2010_2011,BP_2011_2012,BP_2012_2013,BP_2013_2014,BP_2014_2015,BP_2015_2016,SA1_MAINCO,Average,Disinvested
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110553,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110554,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110555,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110556,395.90909090909093,False
144.0,341.0,358.0,479.0,650.0,620.0,306.9998525194292,403.999758060339,273.99985182731245,307.0000954749896,470.9997798899623,20601110557,395.9090307065484,False
144.0,341.0,358.0,479.0,650.0,620.0,307.0,404.0,274.0,307.0,471.0,20601110558,395.90909090909093,False
143.9999914,340.99997967481613,357.9999786615372,478.9999714493752,649.9999612569809,619.9999630451202,306.99998170137405,403.9999759197235,273.99998366832733,306.99998170137405,470.9999719262123,20601110559,395.909067309531,False
144.0006505,340.99720626154885,357.9985662373083,478.9980341152568,649.9943090364877,619.9950924875739,155.9991995506616,451.9998745826315,227.0004041295197,672.9951756336577,277.9991397246213,20601110601,397.99796838720613,False
143.9992037,340.9953411303886,357.99715382878094,478.9977118282586,649.9982937757013,620.0087400094144,155.99998936066729,451.9997939710156,226.99993217929267,672.9996016566804,277.99996017032794,20601110602,397.9996110555025,False
143.9999861,340.9999226826784,357.9999515418575,478.9999594789376,649.9999673902867,620.0001347465571,155.99991044025137,451.99977149542246,226.99991124247163,672.9997333184806,277.9998615486047,20601110603,397.99991908959527,False
144.0,341.0,358.0,479.0,650.0,620.0,156.00002065429578,451.9999977701104,227.00000797127927,672.9999590230931,278.000027078694,20601110604,398.00000113613385,False
144.0,341.0,358.0,479.0,650.0,620.0,156.00026510583382,451.9999224219505,227.0000848978209,672.9993714533947,278.00033989296696,20601110605,397.9999985247243,False
143.9999914,340.99997967481613,357.9999786615372,478.9999714493752,649.9999612569809,619.9999630451202,155.99999070167542,451.99997305870056,226.99998646974564,672.9999598860741,277.99998342990875,20601110606,397.9999762758122,False
144.0,341.0,358.0,479.0,650.0,620.0,156.00003787508814,451.9999763167969,227.00000764670483,672.9998837970813,278.0000465851168,20601110607,397.9999956564354,False
144.0001147,340.9995572905209,357.999782301918,478.9997008899072,649.999095864348,619.9992234218371,155.99994354427372,451.9999397049999,226.99999584995803,672.9997215638949,277.9999288532465,20601110608,397.9997276349913,False
144.0,341.0,358.0,479.0,650.0,620.0,156.0,452.0,227.0,673.0,278.0,20601110609,398.0,False
144.0,341.0,358.0,479.0,650.0,620.0,156.0,452.0,227.0,673.0,278.0,20601110610,398.0,False
144.0,341.0,358.0,479.0,650.0,620.0,156.0,452.0,227.0,673.0,278.0,20601110611,398.0,False
144.0,341.0,358.0,479.0,650.0,620.0,156.00000672914547,451.9999794451569,226.9999955429692,672.9999450979427,278.0000057147011,20601110612,397.9999938663559,False
144.0,341.0,358.0,479.0,650.0,620.0,156.0,452.0,227.0,673.0,278.0,20601110613,398.0,False
144.0,341.0,358.0,479.0,650.0,620.0,156.00011532424827,451.9999605963224,227.0000349193193,672.9997147214308,278.00014697110163,20601110614,397.9999975029475,False
144.0000945,340.9996079091943,357.9998014094217,478.99972753443217,649.9992006523371,619.9993115509278,155.99995933507108,451.99997867708913,227.00000983859368,672.9997642541297,277.99995243722253,20601110615,397.99976437258357,False
144.0,341.0,358.0,479.0,650.0,620.0,156.0,452.0,227.0,673.0,278.0,20601110616,398.0,False
