SA2_MAINCODE_2011,SA2_NAME_2011,SA2_5DIGITCODE_2011,SA3_CODE_2011,SA3_NAME_2011,SA4_CODE_2011,SA4_NAME_2011,GCCSA_CODE_2011,GCCSA_NAME_2011,STATE_CODE_2011,STATE_NAME_2011,AREA_ALBERS_SQM
209031215,Wattle Glen - Diamond Creek,21215,20903,Nillumbik - Kinglake,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,26824588.5
209041216,Bundoora - North,21216,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,4714462.928
209041217,Bundoora - West,21217,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,2560757.054
209041218,Epping,21218,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,84889732.1
209041219,Lalor,21219,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,12064192.11
209041220,Mill Park - North,21220,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,8135829.285
209041221,Mill Park - South,21221,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,4925843.497
209041222,South Morang,21222,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,59738580.51
209041223,Thomastown,21223,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,14684246.44
209041224,Wallan,21224,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,507741241.8
209041225,Whittlesea,21225,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,297992644.8
210011226,Airport West,21226,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3719782.463
210011227,Essendon Airport,21227,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3354922.386
210011228,Keilor,21228,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,17512277.47
210011229,Keilor East,21229,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,10891930.32
210011230,Niddrie - Essendon West,21230,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,2803003.661
210011231,Strathmore,21231,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,4144638.282
210021232,Gisborne,21232,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,211049401.1
210021233,Macedon,21233,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,72990951.57
210021234,Riddells Creek,21234,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,83349554.61
210021235,Romsey,21235,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,624709338.1
210031236,Coburg North,21236,21003,Moreland - North,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,4878197.294
210031237,Fawkner,21237,21003,Moreland - North,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,5084927.468
210031238,Glenroy - Hadfield,21238,21003,Moreland - North,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,13431668.42
210031239,Pascoe Vale,21239,21003,Moreland - North,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,6983724.941
210041240,Sunbury,21240,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,129548527.9
210041241,Sunbury - South,21241,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,131135781.5
210051242,Broadmeadows,21242,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,8826688.684
210051243,Campbellfield - Coolaroo,21243,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,18186630.92
210051244,Craigieburn - Mickleham,21244,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,106071514.5
210051245,Gladstone Park - Westmeadows,21245,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,13936990.42
210051246,Greenvale - Bulla,21246,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,95815075.47
210051247,Meadow Heights,21247,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,4625291.331
210051248,Melbourne Airport,21248,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,30384868.28
210051249,Roxburgh Park - Somerton,21249,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,12381369.84
210051250,Tullamarine,21250,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3859572.022
211011251,Bayswater,21251,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8043669.218
211011252,Boronia - The Basin,21252,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,16979606.94
211011253,Ferntree Gully,21253,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,16198744.63
