,STOP_ID,STOP_NAME,ROUTEUSSP
137,18494,51-Williamson Rd/Rosamond Rd (Maidstone),82
138,18495,52-River St/Rosamond Rd (Maribyrnong),82
139,18496,53-Maribyrnong College/River St (Maribyrnong),82
140,18497,54-Gordon St/River St (Maribyrnong),82
141,18498,55-Lyric St/Gordon St (Maribyrnong),82
142,18499,56-Edgewater Square/Gordon St (Maribyrnong),82
143,18500,57-Titch St/Gordon St (Footscray),82
144,18501,58-Ballarat Rd/Gordon St (Footscray),82
145,18505,59-Droop St/Ballarat Rd (Footscray),82
146,18506,60-Tiernan St/Droop St (Footscray),82
147,18507,61-Geelong Rd/Droop St (Footscray),82
148,18508,62-Nicholson St/Droop St (Footscray),82
149,18509,63-Leeds St/Hopkins St (Footscray),82
150,18511,33-Chaucer St/Ascot Vale Rd (Moonee Ponds),82
151,20549,64-Power St/Glenferrie Rd (Kooyong),16
152,20550,65-Warra St/Glenferrie Rd (Toorak),16
153,20551,65-Kooyong Railway Station/Glenferrie Rd (Kooyong),16
154,20552,66-Kooyong Tennis Centre/Glenferrie Rd (Toorak),16
155,20553,66-Vision Australia/Glenferrie Rd (Kooyong),16
156,20554,67-Gardiner Rd/Glenferrie Rd (Hawthorn),16
157,20555,67-Gardiner Rd/Glenferrie Rd (Hawthorn),16
158,20556,68-Callantina Rd/Glenferrie Rd (Hawthorn),16
159,1185,50-Vincent St/Wattletree Rd (Malvern East),5
160,12599,42-Kooyong Rd/Wattletree Rd (Armadale),5
161,1291,51-Erica Ave/Wattletree Rd (Malvern East),5
162,1292,38-Renown St/Sydney Rd (Coburg),19
163,13401,28-Punt Rd/High St (Prahran),6
164,13995,44-Barb St/Raleigh Rd (Maribyrnong),"82,57"
165,14033,29-Perth St/High St (Prahran),6
166,14614,30-Prahran Station/High St (Prahran),6
167,14728,31-Chapel St/High St (Prahran),6
168,15559,45-Randall St/Raleigh Rd (Maribyrnong),"82,57"
169,15699,32-Hornby St/High St (Prahran),6
170,1575,52-Burke Rd/Wattletree Rd (Malvern East),5
171,16610,33-The Avenue/High St (Prahran),6
172,16713,34-Bell St/Sydney Rd (Coburg),19
173,16714,33-Coburg Market/Sydney Rd (Coburg),19
174,16715,32-Munro St/Sydney Rd (Coburg),19
175,16716,31-Reynard St/Sydney Rd (Coburg),19
176,16717,30-The Avenue/Sydney Rd (Coburg),19
177,16718,34-Lewisham Rd/High St (Prahran),6
178,16719,28-Moreland Rd/Sydney Rd (Brunswick),19
179,16720,27-Brunswick Tram Depot/Sydney Rd (Brunswick),19
180,16721,26-Albion St/Sydney Rd (Brunswick),19
181,16722,25-Stewart St/Sydney Rd (Brunswick),19
182,16723,24-Brunswick Baptist Church/Sydney Rd (Brunswick),19
183,16724,23-Victoria St/Sydney Rd (Brunswick),19
184,16725,22-Albert St/Sydney Rd (Brunswick),19
185,16726,21-Brunswick Town Hall/Sydney Rd (Brunswick),19
186,16727,20-Barkly Square/115 Sydney Rd (Brunswick),19
187,16728,19-Brunswick Rd/Sydney Rd (Brunswick),19
188,16729,18-Princes Park/Royal Pde (Parkville),19
189,16730,17-Ievers St/Royal Pde (Parkville),19
190,16731,16-Visy Park/Royal Pde (Parkville),19
191,16732,15-Leonard St/Royal Pde (Parkville),19
192,16733,14-Macarthur Rd/Royal Pde (Parkville),19
193,16734,13-Gatehouse St/Royal Pde (Parkville),19
194,16735,12-Morrah St/Royal Pde (Parkville),19
195,16736,11-University of Melbourne/Royal Pde (Parkville),19
196,16738,35-Williams Rd/High St (Prahran),6
197,16739,36-Chatsworth Rd/High St (Prahran),6
198,16740,37-Airlie Ave/High St (Prahran),6
199,16741,38-Orrong Rd/High St (Prahran),6
200,16742,39-Auburn Gr/High St (Armadale),6
201,16743,40-Armadale Station/High St (Armadale),6
202,16744,41-Kooyong Rd/High St (Armadale),6
203,16745,42-Huntingtower Rd/High St (Armadale),6
204,16746,43-Mercer Rd/High St (Armadale),6
205,16747,44-Glenferrie Rd/High St (Malvern),6
206,16748,45-De La Salle College/High St (Malvern),6
207,16749,46-Fraser St/High St (Malvern),6
208,16750,47-Dixon St/High St (Malvern),6
209,16751,48-Tooronga Rd/High St (Glen Iris),6
210,16752,49-Harold Holt Swim Centre/High St (Glen Iris),6
211,16753,50-Belmont Ave/High St (Glen Iris),6
212,16754,51-Burke Rd/High St (Glen Iris),6
213,16755,52-Boyanda Rd/High St (Glen Iris),6
214,16757,53-Malvern Rd/High St (Glen Iris),6
215,16758,52-Boyanda Rd/High St (Glen Iris),6
216,16759,51-Burke Rd/High St (Glen Iris),6
217,16760,50-Belmont Ave/High St (Glen Iris),6
218,16761,49-Harold Holt Swim Centre/High St (Glen Iris),6
219,16762,48-Tooronga Rd/High St (Glen Iris),6
220,16764,47-Dixon St/High St (Malvern),6
221,16765,46-Fraser St/High St (Malvern),6
222,16766,45-De La Salle College/High St (Malvern),6
