,Stations,Degree,Betweenness,Closeness
61,124,0.03759398496240601,0.10106038065508949,0.0873850197109067
62,124a,0.015037593984962405,0.0,0.08104814137720902
63,125,0.03007518796992481,0.043781558827194346,0.0816451810926949
64,125a,0.015037593984962405,0.0,0.07608695652173914
65,126,0.03007518796992481,0.04070188995805176,0.07926102502979737
66,127,0.015037593984962405,0.035053570024017516,0.07983193277310924
67,128,0.015037593984962405,0.03778225320382855,0.08104814137720902
68,129,0.015037593984962405,0.04221188789662114,0.08281444582814446
69,9,0.03007518796992481,0.11384354379710415,0.08848968729208251
70,122,0.03007518796992481,0.04045646290027295,0.0869281045751634
71,130,0.015037593984962405,0.04888197219828438,0.08586184635248548
72,131,0.022556390977443608,0.09257132677632451,0.09059945504087194
73,132,0.015037593984962405,0.02615881280741962,0.08396464646464646
74,133,0.015037593984962405,0.016247671317330743,0.07846607669616519
75,134,0.015037593984962405,0.011804745821773668,0.07777777777777778
76,135,0.015037593984962405,0.012683223209539,0.07710144927536232
77,136,0.022556390977443608,0.020567852340298152,0.08204811844540408
78,138,0.03007518796992481,0.11624264538351224,0.08831341301460824
79,139,0.015037593984962405,0.058783321941216674,0.08159509202453988
80,71,0.015037593984962405,0.12713602187286396,0.03803259937088933
81,70,0.015037593984962405,0.14012303485987695,0.03931421814957139
82,69,0.015037593984962405,0.15288220551378445,0.04066034851727301
83,68,0.015037593984962405,0.16541353383458646,0.0420752926289149
84,67,0.015037593984962405,0.17771701982228297,0.04356370782836554
85,66,0.015037593984962405,0.18979266347687399,0.04513064133016627
86,65,0.015037593984962405,0.20164046479835954,0.04678156876538867
87,120,0.022556390977443608,0.041508335004776624,0.08653220559531555
88,119,0.03007518796992481,0.16466858117274275,0.08950201884253028
89,D1,0.022556390977443608,0.10135492116715239,0.0869281045751634
90,D2,0.022556390977443608,0.05367585630743525,0.08045977011494253
91,D10,0.015037593984962405,0.015037593984962405,0.07459338194054964
92,D11,0.007518796992481203,0.0,0.06945169712793733
93,75,0.015037593984962405,0.07290954659375712,0.03347596274855273
94,74,0.015037593984962405,0.08680792891319207,0.03453648403012204
95,73,0.015037593984962405,0.10047846889952153,0.03564727954971857
96,72,0.015037593984962405,0.11392116655274549,0.03681151397730418
97,28,0.022556390977443608,0.0022499430394167237,0.09216909216909216
98,2,0.015037593984962405,0.0,0.07841981132075472
99,D6,0.015037593984962405,0.0195754537859801,0.07841981132075472
100,D5,0.015037593984962405,0.0053353079668869135,0.07303679297089512
101,D4,0.015037593984962405,0.0005696058327637275,0.0713519313304721
102,D3,0.015037593984962405,0.010044049517733727,0.0747191011235955
103,7D,0.015037593984962405,0.018080645336284416,0.0778232884727911
104,7C,0.015037593984962405,0.0035879742646659943,0.0724006532389766
105,7B,0.015037593984962405,0.00031708058023847496,0.06923477355543987
106,7A,0.015037593984962405,0.01153885796742939,0.07417735638594534
107,115,0.022556390977443608,0.024634638544412977,0.07855877141169522
108,116,0.015037593984962405,0.004660460675498268,0.07634902411021814
109,117,0.015037593984962405,0.009455456823877877,0.0781433607520564
110,118,0.015037593984962405,0.01960474780023652,0.08250620347394541
111,123,0.022556390977443608,0.1111500445714991,0.08962264150943396
112,137,0.015037593984962405,0.0,0.08144519289650949
113,D14,0.015037593984962405,0.058783321941216674,0.07855877141169522
114,D15,0.015037593984962405,0.04442925495557074,0.0731170973062122
115,D16,0.015037593984962405,0.02984734563681932,0.06831022085259374
116,D17,0.015037593984962405,0.015037593984962405,0.0640346653827636
117,D18,0.007518796992481203,0.0,0.06020823902218198
118,CCSS2,0.015037593984962405,0.0,0.0778232884727911
